Andhra Pradesh,1812.69,1922.74,2032.79,2142.84,2252.89,2362.94,2472.98,2583.03,
Assam,40.42,33.69,26.96,20.23,13.5,6.77,0.04,-6.69,
Arunachal  Pradesh,0,0,0,0,0,0,0,0,
Bihar,2440.33,2463.74,2487.15,2510.56,2533.98,2557.39,2580.8,2604.21,
Chattisgarh,22.57,21.8,21.03,20.27,19.5,18.73,17.96,17.2,
GOA,0,0,0,0,0,0,0,0,
Gujarat,44.89,49.91,54.93,59.95,64.97,69.99,75.01,80.03,
Haryana,16.08,16.89,17.69,18.5,19.31,20.11,20.92,21.73,
Himachal Pradesh,-0.13,-1.34,-2.56,-3.78,-5,-6.21,-7.43,-8.65,
JammuKashmir,1.44,1.34,1.24,1.14,1.04,0.94,0.84,0.74,
Jharkhand,1317.04,1386.03,1455.02,1524.02,1593.01,1662,1731,1799.99,
Karnataka,2169.05,2311.57,2454.09,2596.6,2739.12,2881.64,3024.15,3166.67,
Kerala,4.38,4.43,4.47,4.52,4.56,4.6,4.65,4.69,
Madhya Pradesh,214.99,225.29,235.58,245.88,256.18,266.47,276.77,287.07,
Maharastra,116.7,119.11,121.53,123.94,126.35,128.77,131.18,133.59,
Manipur,0,0,0,0,0,0,0,0,
Meghalaya,0.23,0.26,0.29,0.31,0.34,0.37,0.4,0.43,
Mizoram,0,0,0,0,0,0,0,0,
Nagaland,0,0,0,0,0,0,0,0,
Odisha,2095.77,2210.34,2324.91,2439.48,2554.05,2668.62,2783.19,2897.76,
Punjab,6.36,6.51,6.67,6.83,6.98,7.14,7.29,7.45,
Rajasthan,23.62,25.66,27.69,29.73,31.76,33.8,35.83,37.87,
Sikkim,0,0,0,0,0,0,0,0,
Tamil Nadu,489.48,503.43,517.37,531.32,545.26,559.21,573.15,587.1,
Tripura,0.78,0.86,0.93,1.01,1.09,1.16,1.24,1.32,
Uttar Pradesh,1407.71,1441.71,1475.71,1509.71,1543.71,1577.71,1611.71,1645.71,
Uttarakhand,24.2,26.77,29.34,31.91,34.48,37.05,39.62,42.19,
West Bengal,179.36,193.31,207.26,221.21,235.16,249.11,263.06,277.01,
