Andhra Pradesh,-0.56,-0.89,-1.21,-1.53,-1.85,-2.18,-2.5,-2.82,
Assam,1.45,1.57,1.69,1.81,1.93,2.05,2.18,2.3,
Arunachal Pradesh,0,0,0,0,0,0,0,0,
Bihar,4.66,-3.8,-12.26,-20.73,-29.19,-37.65,-46.12,-54.58,
Chattisgarh,2.06,2.23,2.4,2.56,2.73,2.9,3.06,3.23,
GOA,0,0,0,0,0,0,0,0,
Gujarat,0,0,0,0,0,0,0,0,
Haryana,0.41,0.46,0.51,0.55,0.6,0.65,0.7,0.75,
Himachal Pradesh,0,0,0,0,0,0,0,0,
JammuKashmir,0,0,0,0,0,0,0,0,
Jharkhand,8.62,7.83,7.03,6.24,5.44,4.65,3.85,3.05,
Karnataka,0.31,0.34,0.37,0.4,0.44,0.47,0.5,0.53,
Kerala,0,0,0,0,0,0,0,0,
Madhya Pradesh,33.77,37.06,40.34,43.62,46.91,50.19,53.47,56.76,
Maharastra,-0.64,-0.94,-1.24,-1.54,-1.84,-2.14,-2.44,-2.74,
Manipur,0,0,0,0,0,0,0,0,
Meghalaya,0.53,0.57,0.62,0.66,0.7,0.75,0.79,0.84,
Mizoram,-0.1,-0.14,-0.19,-0.23,-0.27,-0.32,-0.36,-0.41,
Nagaland,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,
Odisha,1.13,1.23,1.33,1.43,1.53,1.63,1.73,1.84,
Punjab,0.21,0.17,0.13,0.09,0.05,0.01,-0.03,-0.07,
Rajasthan,0,-0.2,-0.4,-0.59,-0.79,-0.98,-1.18,-1.37,
Sikkim,0,0,0,0,0,0,0,0,
Tamil Nadu,-1.03,-1.37,-1.71,-2.06,-2.4,-2.74,-3.09,-3.43,
Tripura,0,0,0,0,0,0,0,0,
Uttar Pradesh,-0.09,-0.2,-0.31,-0.42,-0.52,-0.63,-0.74,-0.85,
Uttarakhand,-0.12,-0.17,-0.22,-0.27,-0.32,-0.36,-0.41,-0.46,
West Bengal,10.84,10.69,10.53,10.37,10.21,10.05,9.89,9.74,
