Andhra Pradesh,266.52,141.86,17.2,-107.46,-232.12,-356.78,-481.44,-606.1,
Assam,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,
Arunachal  Pradesh,0,0,0,0,0,0,0,0,
Bihar,-2.46,-3.57,-4.68,-5.79,-6.9,-8.01,-9.12,-10.23,
Chattisgarh,0.42,0.46,0.49,0.53,0.57,0.61,0.64,0.68,
GOA,0,0,0,0,0,0,0,0,
Gujarat,-1.05,-1.54,-2.03,-2.52,-3.01,-3.5,-3.99,-4.48,
Haryana,2.03,2.26,2.48,2.71,2.94,3.16,3.39,3.62,
Himachal Pradesh,-0.03,-0.06,-0.09,-0.12,-0.15,-0.18,-0.21,-0.24,
JammuKashmir,0.22,0.23,0.24,0.25,0.27,0.28,0.29,0.31,
Jharkhand,3.78,4.06,4.33,4.6,4.87,5.15,5.42,5.69,
Karnataka,0.41,0.46,0.51,0.55,0.6,0.65,0.7,0.75,
Kerala,18.46,14.51,10.57,6.63,2.69,-1.26,-5.2,-9.14,
Madhya Pradesh,0.43,0.4,0.37,0.35,0.32,0.29,0.27,0.24,
Maharastra,-1.19,-3.57,-5.96,-8.34,-10.73,-13.11,-15.49,-17.88,
Manipur,0,0,0,0,0,0,0,0,
Meghalaya,0,0,0,0,0,0,0,0,
Mizoram,0,0,0,0,0,0,0,0,
Nagaland,0,0,0,0,0,0,0,0,
Odisha,0.75,0.83,0.91,1,1.08,1.16,1.25,1.33,
Punjab,-0.6,-0.97,-1.34,-1.71,-2.08,-2.45,-2.82,-3.19,
Rajasthan,75.75,74.46,73.16,71.87,70.58,69.29,68,66.7,
Sikkim,0,0,0,0,0,0,0,0,
Tamil Nadu,15.92,14.54,13.16,11.79,10.41,9.03,7.65,6.27,
Tripura,0,0,0,0,0,0,0,0,
Uttar Pradesh,1.41,1.43,1.45,1.47,1.49,1.52,1.54,1.56,
Uttarakhand,0,0,0,0,0,0,0,0,
West Bengal,5.31,5.23,5.14,5.06,4.97,4.89,4.8,4.71,
